Order,Family,Genus_species,English_Name,Name_Tree,Super order,Status ,n,n_Small Intestine,Body mass_Small intestine,Small Intestine_Length,n_Large Intestine,Body mass_Large Intestine,Large Intestine_Length,n_Caecum,Body mass_Ceaecum,Caecum_Length,n_Colon,Body mass_Colon,Colon_Length,n_Total Intestine,Body mass_Total Intestine,Total Intestine_Length,Source,Inv,Vend,Vect,Vfish,Vunk,Faunivory,Scav,Total_Faunivory,Fruit,Nect,Seed,Fruit/Nect/Seed,PlantO,Total_Plant,Source,Certainty,Type_I,Type_II,Latitude,Abs_Lat,Mean_Precip,Mean_Temp,Mean_AET,Mean_PET,Volant,Marine,Foregut
Rodentia,Sciuridae,Callosciurus_prevostii,Prevost´s squirrel,Callosciurus_prevostii_SCIURIDAE_RODENTIA,Euarchontoglires,captive,2,1,0.274,94.90,1,0.274,42.40,1,0.274,7.90,2,0.274,34.50,1,0.274,137.30,"Mitsuzuka et al. (2018), Mark Edwards",20,0,0,0,10,30,0,30,20,0,20,40,30,70,Ref_1,ABC,Herb,Omni,0.55,0.55,243.8,24.84,1686.88,1743.09,0,0,0
Rodentia,Sciuridae,Callospermophilus_lateralis,Golden mantled ground squirrel,Callospermophilus_lateralis_SCIURIDAE_RODENTIA,Euarchontoglires,wild,13,13,0.129,80.70,13,0.129,41.40,13,0.129,8.80,13,0.129,32.60,13,0.129,122.10,Schieck and Millar (1985),20,0,0,0,0,20,0,20,0,0,40,40,40,80,Ref_1,ABC,Herb,Omni,44.51,44.51,33.72,5.68,364.51,829.87,0,0,0
Rodentia,Cricetidae,Calomys_laucha,Small vesper mouse,Calomys_laucha_CRICETIDAE_RODENTIA,Euarchontoglires,wild,45,45,0.015,34.30,45,0.015,8.90,45,0.015,3.10,45,0.015,5.80,45,0.015,43.20,Ellis et al. (1994),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-27.11,27.11,82.65,19.83,953.17,1186.92,0,0,1
Rodentia,Cricetidae,Calomys_musculinus,Drylands vesper mouse,Calomys_musculinus_CRICETIDAE_RODENTIA,Euarchontoglires,wild,42,42,0.021,33.30,42,0.021,10.50,42,0.021,3.30,42,0.021,7.20,42,0.021,43.80,Ellis et al. (1994),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-31.61,31.61,51.57,14.57,620,975.64,0,0,1
Didelphimorphia,Didelphidae,Caluromys_lanatus,Woolly opossum,Caluromys_lanatus_DIDELPHIDAE_DIDELPHIMORPHIA,Ameridelphia,unknown,3,3,0.300,60.50,3,0.300,34.80,3,0.300,9.50,3,0.300,25.30,3,0.300,95.30,Caceres (2005),20,0,0,0,10,30,0,30,20,0,10,30,40,70,Ref_1,ABC,Herb,Omni,-9.51,9.51,175.31,24.56,1392.87,1501.45,0,0,0
Didelphimorphia,Didelphidae,Caluromys_philander,Bare-tailed woolly opossum,Caluromys_philander_DIDELPHIDAE_DIDELPHIMORPHIA,Ameridelphia,unknown,5,5,0.221,50.62,5,0.221,24.32,5,0.221,5.94,5,0.221,18.38,5,0.221,74.94,Santori et al. (2004),20,0,0,0,10,30,0,30,20,0,10,30,40,70,Ref_1,ABC,Herb,Omni,-6.19,6.19,144.03,23.91,1356.51,1583.7,0,0,0
Cetartiodactyla,Camelidae,Camelus_ferus,Bactrian camel,Camelus_ferus_CAMELIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,506.000,1900.00,1,506.000,1010.00,1,506.000,39.00,1,506.000,971.00,1,506.000,2910.00,This study,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,41.34,41.34,9.94,5.37,66.85,612.43,0,0,1
Carnivora,Canidae,Canis_lupus ,Grey wolf,Canis_lupus_CANIDAE_CARNIVORA,Laurasiatheria,captive,2,2,38.000,396.29,2,38.00,87.43,2,38.00,12.52,2,38.00,74.92,2,38.00,483.72,McGrosky et al. (2016),0,100,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,47.38,47.38,34.79,0.48,313.33,561.11,0,0,0
Cetartiodactyla,Bovidae,Capra_aegagrus,Wild goat,Capra_aegagrus_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,3,3,52.500,953.00,3,52.500,441.00,3,52.500,21.00,3,52.500,420.00,3,52.500,1394.00,Snipes and Snipes (1997),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_3,ABC,Herb,Herb,,,,,,,0,0,1
Cetartiodactyla,Bovidae,Capra_nubiana,Nubian ibex,Capra_nubiana_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,86.000,1579.00,1,86.000,640.00,1,86.000,23.00,1,86.000,617.00,1,86.000,2219.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,23.53,23.53,7.67,20.85,137.73,1393.38,0,0,1
Cetartiodactyla,Cervidae,Capreolus_capreolus,European roe deer,Capreolus_capreolus_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,wild,1,1,20.000,1097.25,1,20.000,273.39,1,20.000,16.41,1,20.000,256.98,1,20.000,1370.64,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,51.25,51.25,55.04,7.36,450.28,610.1,0,0,1
Chiroptera,Phyllostomidae,Carollia_perspicillata,Sebas short-tailed bat,Carollia_perspicillata_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,unknown,21,,,,,,,,,,,,,21,0.017,20.04,"Cruz_Neto and Jones (2006), Klite (1965)",0,0,0,0,0,0,0,0,100,0,0,100,0,100,Ref_1,ABC,Herb,Herb,-4.14,4.14,149.5,23.69,1288.14,1519.79,1,0,0
Rodentia,Castoridae,Castor_canadensis,American beaver,Castor_canadensis_CASTORIDAE_RODENTIA,Euarchontoglires,wild,9,9,15.256,564.31,9,15.256,216.69,9,15.256,42.76,9,15.256,173.93,9,15.256,781.00,"This stuy, Vispo and Hume (1994), Staaland et al. (1995)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,47.57,47.57,52.36,3.99,465.52,632.25,0,0,0
Rodentia,Castoridae,Castor_fiber,Eurasian beaver,Castor_fiber_CASTORIDAE_RODENTIA,Euarchontoglires,wild,54,54,17.455,433.39,54,17.455,188.82,54,17.455,49.64,54,17.455,185.96,18,13.998,671.84,"This study, Staaland et al. (1995), Belzecki et al. (2018)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,57.14,57.14,45.01,2.33,368.57,382.36,0,0,0
Primates,Callitrichidae,Cebuella_pygmaea,Pygmy marmoset,Cebuella_pygmaea_CALLITRICHIDAE_PRIMATES,Euarchontoglires,captive,1,1,0.163,40.68,1,0.163,28.53,1,0.163,4.57,1,0.163,23.96,1,0.163,69.21,McGrosky et al. (2019b),20,0,0,0,20,40,0,40,0,60,0,60,0,60,Ref_1,ABC,Omni,Omni,-5.96,5.96,208.53,25.65,1483.18,1526.07,0,0,0
Primates,Cebidae,Cebus_nigrivitattus,Kaapor capuchin,Cebus_olivaceus_CEBIDAE_PRIMATES,Euarchontoglires,unknown,1,1,2.900,,,,,1,2.900,4.00,,,,,,,Fooden (1964),10,0,0,0,0,10,0,10,70,0,10,80,10,90,Ref_85,ABC,Herb,Herb,-3,3,162.46,24.83,1334.36,1679.89,0,0,0
Cetartiodactyla,Bovidae,Cephalophus_natalensis,Natal red duiker,Cephalophus_natalensis_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,wild  ,1,1,8.300,433.00,1,8.300,206.00,1,8.300,22.00,1,8.300,184.00,1,8.300,639.00,McGrosky et al. (2019),0,10,0,0,0,10,0,10,30,0,0,30,60,90,Ref_1,ABC,Herb,Herb,-19.25,19.25,79.36,22.90,924.61,1494.49,0,0,1
Perissodactyla,Rhinocerotidae,Cerathotherium_simum,White rhino,Ceratotherium_simum_RHINOCEROTIDAE_PERISSODACTYLA,Laurasiatheria,captive,1,1,1500.000,1420.00,1,1500.000,500.00,1,1500.000,72.00,1,1500.000,428.00,1,1500.000,1920.00,This study,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-10.08,10.08,60.61,21.64,729.59,1458.59,0,0,0
Primates,Cercopithecidae,Cercocebus_torquatus,Red-capped mangabey,Cercocebus_torquatus_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,wild,4,4,3.250,192.63,4,3.25,109.90,4,3.25,5.38,4,3.25,104.53,4,3.25,302.53,Jones (1970),20,0,0,0,10,30,0,30,70,0,0,70,0,70,Ref_1,ABC,Herb,Omni,4.2,4.2,175.62,25.24,1238.34,1560.84,0,0,0
Primates,Cercopithecidae,Cercopithecus_cephus,Moustached monkey,Cercopithecus_cephus_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,wild,2,2,2.300,183.00,2,2.30,58.75,2,2.30,8.40,2,2.30,50.35,2,2.30,241.75,Jones (1970),20,0,0,0,10,30,0,30,50,0,10,60,10,70,Ref_1,ABC,Herb,Omni,-0.42,0.42,149.87,24.45,1299.85,1499.82,0,0,0
Primates,Cercopithecidae,Cercopithecus_neglectus,De Brazzas monkey,Cercopithecus_neglectus_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,wild,2,2,3.925,169.50,2,3.925,98.50,2,3.925,7.60,2,3.925,90.90,2,3.925,268.00,Jones (1970),20,0,0,0,10,30,0,30,50,0,10,60,10,70,Ref_1,ABC,Herb,Omni,-1.11,1.11,138.29,24.11,1329.51,1559.68,0,0,0
Primates,Cercopithecidae,Cercopithecus_nictitans,Putty-nosed monkey,Cercopithecus_nictitans_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,wild,1,1,3.800,239.00,1,3.800,110.00,1,3.800,14.50,1,3.800,95.50,1,3.800,349.00,Jones (1970),20,0,0,0,10,30,0,30,50,0,10,60,10,70,Ref_1,ABC,Herb,Omni,1.69,1.69,148.27,24.70,1267.15,1553.94,0,0,0
Primates,Cercopithecidae,Cercopithecus_pogonias,Crowned monkey,Cercopithecus_pogonias_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,wild,6,6,2.483,187.58,6,2.483,64.92,6,2.483,6.38,6,2.483,64.80,6,2.483,252.50,Jones (1970),20,0,0,0,10,30,0,30,50,0,10,60,10,70,Ref_1,ABC,Herb,Omni,1.53,1.53,146.05,24.53,1269.59,1538.71,0,0,0
Cetartiodactyla,Cervidae,Cervus_elaphus,Red deer,Cervus_elaphus_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,190.000,1839.00,1,190.000,1164.00,1,190.000,41.00,1,190.000,1123.00,1,190.000,3003.00,McGrosky et al. (2019),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,46.41,46.41,44.42,2.77,421.62,662.37,0,0,1
Cetartiodactyla,Cervidae,Cervus_nippon,Sika deer,Cervus_nippon_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,wild,23,23,53.400,1355.00,23,53.400,676.00,,,,,,,23,53.400,2031.00,Jiang et al. (2006),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,33.97,33.97,88.81,9.86,789.14,883.95,0,0,1
Cingulata,Chlamyphoridae,Chaetophractus_villosus,Large hairy armadillo,Chaetophractus_villosus_DASYPODIDAE_CINGULATA,Xenarthra,unknown,1,1,3.887,242.00,1,3.887,38.00,1,3.887,8.50,1,3.887,29.50,1,3.887,280.00,Diz et al. (2006),50,10,10,0,0,70,0,70,0,0,0,0,30,30,Ref_1,ABC,Car,Omni,-33.67,33.67,72.15,18.07,827.02,1085.2,0,0,0
Primates,Cheirogaleidae,Cheirogaleus_major,Geoffroys dwarf lemur,Cheirogaleus_major_CHEIROGALEIDAE_PRIMATES,Euarchontoglires,wild,1,1,0.375,95.70,1,0.375,14.30,1,0.375,5.90,1,0.375,8.40,1,0.375,110.00,Buerki and Portela-Miguez (2018),20,0,0,0,0,20,0,20,30,20,0,50,30,80,Ref_1,ABC,Herb,Omni,-18.76,18.76,167.63,20.30,1320.17,1592.72,0,0,0
Primates,Cheirogaleidae,Cheirogaleus_medius,Fat-tailed dwarf lemur,Cheirogaleus_medius_CHEIROGALEIDAE_PRIMATES,Euarchontoglires,captive,8,8,0.186,106.49,8,0.186,18.84,8,0.186,4.52,8,0.186,14.31,8,0.186,125.33,"Campbell (2004), McGrosky et al. (2019b)",20,0,0,0,0,20,0,20,30,20,0,50,30,80,Ref_1,ABC,Herb,Omni,-19.03,19.03,85.08,24.05,899.72,1625.76,0,0,0
Chiroptera,Molossidae,Cheiromeles_torquatus,Greater naked bat,Cheiromeles_torquatus_MOLOSSIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.169,34.00,Jones & MacLarnon 2004 in Caviedes-Vidal et al 2007,100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,1.32,1.32,236.22,25.01,1659.3,1731.33,1,0,0
Rodentia,Chinchillidae,Chinchilla_lanigera,Long-tailed chinchilla,Chinchilla_lanigera_CHINCHILLIDAE_RODENTIA,Euarchontoglires,unknown,10,10,0.620,147.51,10,0.62,210.26,10,0.62,15.28,10,0.62,194.98,10,0.62,357.77,Perez et al. (2011),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-30.39,30.39,11.48,7.22,154.67,1160.86,0,0,0
Chiroptera,Phyllostomidae,Chiroderma_villosum,Hairy big-eyed bat,Chiroderma_villosum_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.025,37.00,Jones & MacLarnon 2004 in Caviedes-Vidal et al 2007,0,0,0,0,0,0,0,0,100,0,0,100,0,100,Ref_1,ABC,Herb,Herb,-1.11,1.11,159.13,23.92,1347.71,1560.9,1,0,0
Primates,Pitheciidae,Chiropotes_satanas,Black bearded saki,Chiropotes_satanas_PITHECIIDAE_PRIMATES,Euarchontoglires,wild,1,1,3.130,282.00,1,3.130,67.00,1,3.130,19.00,1,3.130,48.00,1,3.130,349.00,Fooden (1964),10,0,0,0,0,10,0,10,40,0,20,60,30,90,Ref_1,ABC,Herb,Herb,,,,,,,0,0,0
Primates,Cercopithecidae,Chlorocebus_pygerythrus,Vervet monkey,Chlorocebus_pygerythrus_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,captive,1,1,5.300,176.24,1,5.300,74.17,1,5.300,7.15,1,5.300,67.02,1,5.300,250.41,McGrosky et al. (2019b),20,0,0,0,20,40,0,40,40,0,0,40,20,60,Ref_2,D1,Omni,Omni,-13.19,13.19,65.48,21.84,804.67,1478.27,0,0,0
Afrosoricida,Chrysosochloridae,Chlorotalpa_duthieae,Duthies dolgen mole,Chlorotalpa_duthieae_CHRYSOCHLORIDAE_AFROSORICIDA,Afrotheria,captive,5,,,,,,,,,,,,,3,0.025,30.38,"S. Kotzé, pers. Comm",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-33.65,33.65,53.64,14.62,639.91,1014.8,0,0,0
Afrosoricida,Chrysosochloridae,Chlorotalpa_scalteri,Sclaters golden mole,Chlorotalpa_sclateri_CHRYSOCHLORIDAE_AFROSORICIDA,Afrotheria,captive,3,,,,,,,,,,,,,5,0.029,24.30,"S. Kotzé, pers. Comm",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,,,,,,,0,0,0
Cetartiodactyla,Hippopotamidae,Choeropsis_liberiensis,Pygmy hippopotamus,Choeropsis_liberiensis_HIPPOPOTAMIDAE_CETARTIODACTYLA,Laurasiatheria,captive,3,3,220.000,1892.00,3,220.000,288.00,,,,,,,3,220.000,2180.00,Schwarm et al. (2009),0,0,0,0,0,0,0,0,10,0,0,10,90,100,Ref_1,ABC,Herb,Herb,8.28,8.28,213.58,25.16,1315.05,1605.32,0,0,1
Pilosa,Megalonychidae,Choloepus_didactylus,Linnes two-toed sloth,Choloepus_didactylus_MEGALONYCHIDAE_PILOSA,Xenarthra,captive,1,,,,,,,,,,,,,1,19.000,277.50,This study,0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,0.17,0.17,184.67,25.24,1483.42,1614.82,0,0,1
Carnivora,Viverridae,Chrotogale_owstoni,Owstons civet,Chrotogale_owstoni_VIVERRIDAE_CARNIVORA,Laurasiatheria,captive,1,1,1.960,214.97,1,1.960,20.77,1,1.960,5.09,1,1.960,15.68,1,1.960,235.74,McGrosky et al. (2016),70,0,0,0,10,80,0,80,20,0,0,20,0,20,Ref_1,ABC,Car,Omni,22.03,22.03,136.85,18.31,1082.74,1204.05,0,0,0
Chiroptera,Phyllostomidae,Chrotopterus_auritus,Wooly false vampire bat,Chrotopterus_auritus_PHYLLOSTOMIDAE_CHIROPTERA,Laurasiatheria,unknown,1,,,,,,,,,,,,,1,0.096,32.00,Cruz-Neto & Jones 2006 in Caviedes-Vidal et al 2007,30,0,20,20,0,70,0,70,30,0,0,30,0,30,Ref_1,ABC,Car,Omni,-4.93,4.93,145.4,23.37,1299.96,1511.66,1,0,0
Afrosoricida,Chrysosochloridae,Chrysochloris_asiatica,Cape golden mole,Chrysochloris_asiatica_CHRYSOCHLORIDAE_AFROSORICIDA,Afrotheria,captive,10,,,,,,,,,,,,,10,0.036,26.09,"S. Kotzé, pers. Comm",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-32.08,32.08,19.96,16.11,331.28,1093.45,0,0,0
Afrosoricida,Chrysosochloridae,Chrysospalax_trevelyani,Giant golden mole,Chrysospalax_trevelyani_CHRYSOCHLORIDAE_AFROSORICIDA,Afrotheria,captive,3,,,,,,,,,,,,,3,0.423,43.40,"S. Kotzé, pers. Comm",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-32.02,32.02,63.73,15.60,956.76,1171.87,0,0,0
Rodentia,Erethizontidae,Coendou_prehensilis,Brazilian porcupine,Coendou_prehensilis_ERETHIZONTIDAE_RODENTIA,Euarchontoglires,captive,1,1,4.100,216.90,1,4.100,30.20,1,4.100,26.10,1,4.100,109.80,1,4.100,247.10,This study,0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,-8.43,8.43,144.37,24.16,1284.51,1545.44,0,0,0
Primates,Cercopithecidae,Colobus_guereza,Guereza,Colobus_guereza_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,captive,2,2,9.750,277.59,2,9.75,112.02,2,9.75,7.95,2,9.75,104.07,2,9.75,389.61,McGrosky et al. (2019b),0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,5.15,5.15,108.92,23.16,1126.47,1560.54,0,0,1
Primates,Cercopithecidae,Colobus_polykomos,King colobus,Colobus_polykomos_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,wild,3,3,7.040,231.67,3,7.04,103.90,3,7.04,8.90,3,7.04,95.00,3,7.04,335.57,Jones (1970),0,0,0,0,0,0,0,0,30,0,0,30,70,100,Ref_1,ABC,Herb,Herb,9.06,9.06,180.76,25.72,1090.51,1514.61,0,0,1
Eulipotyphla,Talpidae,Condylura_cristata,Star-nosed mole,Condylura_cristata_TALPIDAE_EULIPOTYPHLA,Laurasiatheria,wild,3,,,,,,,,,,,,,3,0.034,77.70,Schieck and Millar (1985),80,0,0,20,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,43.1,43.1,68.07,3.69,534.43,575.53,0,0,0
Cetartiodactyla,Bovidae,Connochaetes_gnou,Black wildebeest,Connochaetes_gnou_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,wild,6,6,121.000,2380.00,6,121.000,639.00,6,121.000,31.00,6,121.000,608.00,6,121.000,3019.00,Woodall and Skinner (1993),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-28.83,28.83,47.98,15.43,637.43,1148.16,0,0,1
Cetartiodactyla,Bovidae,Connochaetes_taurinus,Blue wildebeest,Connochaetes_taurinus_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,wild ,5,5,214.000,3270.00,5,214.000,683.00,5,214.000,46.00,5,214.000,637.00,5,214.000,3953.00,Woodall and Skinner (1993),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-15.63,15.63,61.61,21.10,731.29,1433.23,0,0,1
Rodentia,Nesomyidae,Cricetomys_ansorgei,East african savannah pouched rat,Cricetomys_emini_NESOMYIDAE_RODENTIA,Euarchontoglires,wild,10,10,1.0455,129,10,1.05,88.20,10,1.05,27,10,1.05,61.30,10,1.05,217.20,Ali et al. (2008),40,0,0,0,0,40,0,40,30,0,20,50,10,60,Ref_1,ABC,Omni,Omni,,,,,,,0,0,1
Rodentia,Nesomyidae,Cricetomys_gambianus,Gambian rat,Cricetomys_gambianus_NESOMYIDAE_RODENTIA,Euarchontoglires,various,55,55,1.179,106.97,55,1.179,66.38,55,1.179,14.17,55,1.179,52.11,55,1.179,173.35,"Knight and Knight-Eloff (1987), Nzalak et al. (2012)",40,0,0,0,0,40,0,40,30,0,20,50,10,60,Ref_1,ABC,Omni,Omni,,,,,,,0,0,1
Rodentia,Cricetidae,Cricetulus_barabensis,Striped dwarf hamster,Cricetulus_barabensis_CRICETIDAE_RODENTIA,Euarchontoglires,wild ,8,8,0.024,37.80,8,0.024,15.30,8,0.024,7.60,8,0.024,7.70,8,0.024,53.10,Wang et al. (2003),0,0,0,0,0,0,0,0,0,0,50,50,50,100,Ref_1,ABC,Herb,Herb,42.81,42.81,34.34,1.19,433.81,587.45,0,0,1
Eulipotyplha,Soricidae,Crocidura_cyanea,Reddish-gray musk shrew,Crocidura_cyanea_SORICIDAE_EULIPOTYPHLA,Laurasiatheria,captive,10,,,,,,,,,,,,,10,0.015,11.59,Boonzaier et al. (2013),50,0,10,0,0,60,40,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-23.48,23.48,39.5,18.94,544.29,1304.2,0,0,0
Eulipotyphla,Soricidae,Crocidura_hirta,Lesser red musk shrew,Crocidura_hirta_SORICIDAE_EULIPOTYPHLA,Laurasiatheria,wild,1,,,,,,,,,,,,,1,0.016,29.99,Korn (1992),50,0,10,0,0,60,40,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-14.91,14.91,72.77,21.68,810.69,1462.54,0,0,0
Eulipotyphla,Soricidae,Crocidura_russula,White-toothed shrew,Crocidura_russula_SORICIDAE_EULIPOTYPHLA,Laurasiatheria,various,22,,,,,,,,,,,,,22,0.011,26.42,"Lagenbeck (1996), This study",50,0,10,0,0,60,40,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,40.48,40.48,59.06,10.05,509.8,736.05,0,0,0
Eulipotyphla,Soricidae,Crocidura_suaveolens,Lesser shrew,Crocidura_suaveolens_SORICIDAE_EULIPOTYPHLA,Laurasiatheria,unknown,8,,,,,,,,,,,,,8,0.008,16.60,Lagenbeck (1996),50,0,10,0,0,60,40,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,,,,,,,0,0,0
Carnivora,Hyaenidae,Crocuta_crocuta,Spotted hyaena,Crocuta_crocuta_HYAENIDAE_CARNIVORA,Laurasiatheria,captive,1,1,77.000,1048.35,1,77.000,54.48,1,77.000,14.29,1,77.000,40.19,1,77.000,1102.83,McGrosky et al. (2016),0,100,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-5.14,5.14,78.32,23.85,822.22,1551.16,0,0,0
Rodentia,Batheryergidae,Cryptomys_hottentotus,African mole rat,Cryptomys_hottentotus_BATHYERGIDAE_RODENTIA,Euarchontoglires,captive,14,14,0.088,21.45,14,0.088,35.36,14,0.088,17.04,14,0.088,18.04,6,0.070,84.07,"Kotzé et al. (2010), Perrin and Curtis (1980)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-19.22,19.22,61.61,19.87,717.52,1354.06,0,0,0
Rodentia,Ctenomyidae,Ctenomys_pearsoni,Pearsons tuco-tuco,Ctenomys_pearsoni_CTENOMYIDAE_RODENTIA,Euarchontoglires,unknown,10,10,0.161,70.60,10,0.161,59.35,10,0.161,14.05,10,0.161,45.30,10,0.161,129.95,Perez et al. (2009),0,0,0,0,0,0,0,0,0,0,100,100,0,100,Ref_1,ABC,Herb,Herb,-33.99,33.99,84.6,15.93,916.64,1101.93,0,0,0
Rodentia,Cuniculidae,Cuniculus_paca,Spotted paca,Cuniculus_paca_CUNICULIDAE_RODENTIA,Euarchontoglires,captive,1,1,5.460,414.17,1,5.460,208.74,1,5.460,35.23,1,5.460,173.51,1,5.460,622.91,This study,0,0,0,0,0,0,0,0,20,0,30,50,50,100,Ref_1,ABC,Herb,Herb,-3.86,3.86,154.72,23.98,1319.82,1532.39,0,0,0
Rodentia,Cuniculidae,Cuniculus_taczanowskii,Mountain paca,Cuniculus_taczanowskii_CUNICULIDAE_RODENTIA,Euarchontoglires,captive,1,1,3.520,477.28,1,3.520,276.51,1,3.520,35.66,1,3.520,240.85,1,3.520,753.79,This study,0,0,0,0,0,0,0,0,20,0,30,50,50,100,Ref_1,ABC,Herb,Herb,-2.36,2.36,157.32,19.18,1318.39,1498.95,0,0,0
Carnivora,Canidae,Cuon_alpinus,Dhole,Cuon_alpinus_CANIDAE_CARNIVORA,Laurasiatheria,captive,2,2,20.000,240.48,2,20.000,52.93,2,20.000,9.02,2,20.000,43.91,2,20.000,293.40,McGrosky et al. (2016),0,90,0,0,0,90,10,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,23.37,23.37,95.28,9.65,758.61,997.65,0,0,0
Rodentia,Sciuridae,Cynomys_ludovicianus,Arizona black-tailed praire dog,Cynomys_ludovicianus_SCIURIDAE_RODENTIA,Euarchontoglires,captive,1,1,1.300,184.66,1,1.300,111.15,1,1.300,14.14,1,1.300,97.01,1,1.300,295.81,This study,0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,39.25,39.25,35.98,10.88,523.53,901.88,0,0,0
Cetartiodactyla,Bovidae,Damaliscus_pygargus,Blesbok,Damaliscus_pygargus_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,wild,14,14,68.536,1345.79,14,68.536,669.71,14,68.536,32.29,14,68.536,637.43,14,68.536,2015.50,"McGrosky et al. (2019), Woodall and Skinner (1993)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-29.5,29.5,49.54,15.68,674.58,1180.21,0,0,1
Rodentia,Dasyproctidae,Dasyprocta_azarae,Azaras agouti,Dasyprocta_azarae_DASYPROCTIDAE_RODENTIA,Euarchontoglires,captive,1,1,4.100,645.12,1,4.100,186.99,1,4.100,21.66,1,4.100,165.33,1,4.100,832.11,This study,10,0,0,0,0,10,0,10,40,0,0,40,50,90,Ref_1,ABC,Herb,Herb,-22.96,22.96,127.73,21.46,1202.02,1331.01,0,0,0
Rodentia,Dasyproctidae,Dasyprocta_leporina,Red-rumoed agouti,Dasyprocta_leporina_DASYPROCTIDAE_RODENTIA,Euarchontoglires,various,11,11,2.372,729.33,11,2.372,137.34,11,2.372,22.02,11,2.372,115.32,11,2.372,866.66,"Garcia et al. (2000), This study",10,0,0,0,0,10,0,10,40,0,0,40,50,90,Ref_1,ABC,Herb,Herb,-6.31,6.31,149.15,24.24,1320.98,1565.39,0,0,0
