Order,Family,Genus_species,English_Name,Name_Tree,Super order,Status ,n,n_Small Intestine,Body mass_Small intestine,Small Intestine_Length,n_Large Intestine,Body mass_Large Intestine,Large Intestine_Length,n_Caecum,Body mass_Ceaecum,Caecum_Length,n_Colon,Body mass_Colon,Colon_Length,n_Total Intestine,Body mass_Total Intestine,Total Intestine_Length,Source,Inv,Vend,Vect,Vfish,Vunk,Faunivory,Scav,Total_Faunivory,Fruit,Nect,Seed,Fruit/Nect/Seed,PlantO,Total_Plant,Source,Certainty,Type_I,Type_II,Latitude,Abs_Lat,Mean_Precip,Mean_Temp,Mean_AET,Mean_PET,Volant,Marine,Foregut
Cetartiodactyla,Bovidae,Alcelaphus_buselaphus,Hartebeest,Alcelaphus_buselaphus_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,wild,42,42,127.400,2024.00,42,127.40,1821.00,42,127.40,47.00,42,127.40,1774.00,42,127.40,3845.00,"Gronau (1998), Woodall and Skinner (1993)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,5.81,5.81,93.92,24.71,957.29,1598.47,0,0,1
Cetartiodactyla,Cervidae,Alces_alces,Moose,Alces_alces_CERVIDAE_CETARTIODACTYLA,Laurasiatheria,various,36,36,283.000,2768.00,36,283.000,1605.00,36,283.000,49.00,36,283.000,1654.00,36,283.000,4373.00,"Gill (1961), Hofmann and Nygren (1992)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,,,,,,,0,0,1
Primates,Cercopithecidae,Allenopithecus_nigroviridis,Allens swamp monkey,Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES,Euarchontoglires,captive,1,1,3.750,162.00,1,3.750,67.00,1,3.750,7.00,1,3.750,60.00,1,3.750,229.00,This study,50,0,0,0,0,50,0,50,50,0,0,50,0,50,Ref_1,ABC,Omni,Omni,-0.17,0.17,157.4,25.17,1517.75,1589.35,0,0,0
Primates,Atelidae,Alouatta_sara,Bolivian red howler monkey,Alouatta_sara_ATELIDAE_PRIMATES,Euarchontoglires,captive,2,2,3.950,122.55,2,3.95,79.69,2,3.95,6.01,2,3.95,73.69,2,3.95,202.24,McGrosky et al. (2019b),0,0,0,0,0,0,0,0,40,0,0,40,60,100,Ref_1,ABC,Herb,Herb,-14.72,14.72,109.48,24.49,1270.73,1488.29,0,0,0
Primates,Atelidae,Alouatta_seniculus,Colombian red howler monkey,Alouatta_seniculus_ATELIDAE_PRIMATES,Euarchontoglires,wild,1,1,6.350,238.50,1,6.350,70.00,1,6.350,12.00,1,6.350,58.00,1,6.350,308.50,Fooden (1964),0,0,0,0,0,0,0,0,40,0,0,40,60,100,Ref_1,ABC,Herb,Herb,0.68,0.68,182.34,25.08,1449.76,1574.93,0,0,0
Afrosoricida,Chrysosochloridae,Amblysomus_corriae,Fynbons golden mole,Amblysomus_corriae_CHRYSOCHLORIDAE_AFROSORICIDA,Afrotheria,captive,4,,,,,,,,,,,,,4,0.051,39.08,"S. Kotzé, pers. Comm",100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_54,ABC,Car,Car,-33.63,33.63,34.4,15.11,463.12,1219.81,0,0,0
Afrosoricida,Chrysosochloridae,Amblysomus_hottentotus,Hottentot golden mole,Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA,Afrotheria,captive,10,,,,,,,,,,,,,10,0.061,39.15,Boonzaier et al. (2013),100,0,0,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-29.74,29.74,55.31,14.61,798.1,1134.38,0,0,0
Cetartiodactyla,Bovidae,Ammotragus_lervia,Aoudad,Ammotragus_lervia_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,captive,1,1,90.000,1655.00,1,90.000,730.00,1,90.000,38.00,1,90.000,692.00,1,90.000,2385.00,Gill (1960),0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,24.84,24.84,5.62,22.54,103.32,1256.23,0,0,1
Dasyuromorphia,Dasyuridae,Antechinomys_laniger,Kultarr,Antechinomys_laniger_DASYURIDAE_DASYUROMORPHIA,Australidelphia,captive,6,,,,,,,,,,,,,6,0.025,15.81,Stannard and Old (2013),80,10,10,0,0,100,0,100,0,0,0,0,0,0,Ref_1,ABC,Car,Car,-27.09,27.09,21.07,20.59,278.99,1292.12,0,0,0
Cetartiodactyla,Bovidae,Antidorcas_marsupialis,Springbok,Antidorcas_marsupialis_BOVIDAE_CETARTIODACTYLA,Laurasiatheria,wild,23,23,37.000,1194.00,23,37.00,524.00,23,37.000,30.00,23,37.000,494.00,23,39.750,1749.00,"Hofmann et al. (1995), Woodal and Skinner (1993)",0,0,0,0,0,0,0,0,0,0,0,0,100,100,Ref_1,ABC,Herb,Herb,-20.74,20.74,24,19.02,377.23,1328.86,0,0,1
