"","Species","mean_body_mass","class","order","family","genus","species","common_name","gestation_d","weaning_d","inter_litter_or_interbirth_interval_y","birth_or_hatching_weight_g","female_maturity_d","litter_or_clutch_size_n"
"101","Bubalus bubalis",759083.495,"Mammalia","Artiodactyla","Bovidae","Bubalus","bubalis","Water Buffalo",314.83246,228.135,1.249144422,37500,553.53384,1.375
"102","Budorcas taxicolor",218171.776666667,"Mammalia","Artiodactyla","Bovidae","Budorcas","taxicolor","Takin",235.6,118.55,0.999315537,6000,913.08,1.17
"103","Callicebus baptista",904.065,"Mammalia","Primates","Pitheciidae","Callicebus","baptista","Baptista Lake Titi",164,106.526,0.999315537,74.4,1095.696,1.015
"104","Callicebus brunneus",958.13,"Mammalia","Primates","Pitheciidae","Callicebus","brunneus","Brown Titi",147.5,203.925,0.999315537,74,1095.696,1.01
"105","Callicebus cupreus",1037.575,"Mammalia","Primates","Pitheciidae","Callicebus","cupreus","Coppery Titi",147.5,203.925,0.999315537,74,1095.696,1.005
"106","Callicebus discolor",1037.575,"Mammalia","Primates","Pitheciidae","Callicebus","discolor","White-tailed titi",147.5,203.925,0.999315537,74,1095.696,1.005
"107","Callicebus hoffmannsi",904.065,"Mammalia","Primates","Pitheciidae","Callicebus","hoffmannsi","Hoffmanns's Titi",164,106.526,0.999315537,74.4,1095.696,1.015
"108","Callicebus moloch",913.0563912,"Mammalia","Primates","Pitheciidae","Callicebus","moloch","Red-bellied Titi",164,106.526,0.999315537,74.4,1095.696,1.01
"109","Callicebus ornatus",1037.575,"Mammalia","Primates","Pitheciidae","Callicebus","ornatus","Ornate Titi",147.5,203.925,0.999315537,74,1095.696,1.005
"110","Callimico goeldii",559.63325055,"Mammalia","Primates","Cebidae","Callimico","goeldii","Goeldi's Marmoset",153.495,71.765,0.49486653,48.61,389.42,1
"111","Callithrix argentata",349.61472125,"Mammalia","Primates","Cebidae","Callithrix","argentata","Silvery Marmoset",144,120,0.592197125,35.45,502.76,1.87
"112","Callithrix aurita",272.705,"Mammalia","Primates","Cebidae","Callithrix","aurita","Buffy-tufted Marmoset",144,62,0.450102669,27.12,477,2.24
"113","Callithrix emiliae",350.225,"Mammalia","Primates","Cebidae","Callithrix","emiliae","Emilia's Marmoset",144,120,0.592197125,35.45,502.76,1.87
"114","Callithrix flaviceps",290.21,"Mammalia","Primates","Cebidae","Callithrix","flaviceps","Buffy-headed Marmoset",144,62,0.450102669,27.12,477,2.12
"115","Callithrix geoffroyi",320.8025,"Mammalia","Primates","Cebidae","Callithrix","geoffroyi","White-headed Marmoset",144,62,0.450102669,27.12,477,2.24
"116","Callithrix humeralifera",299.605,"Mammalia","Primates","Cebidae","Callithrix","humeralifera","Santarem Marmoset",144,99.01,0.450102669,27.43,477,2.24
"117","Callithrix intermedia",343.2,"Mammalia","Primates","Cebidae","Callithrix","intermedia","Hershkovitz's Marmoset",144,99.2,0.5229295,31.12,477,2
"118","Callithrix jacchus",261.983333333333,"Mammalia","Primates","Cebidae","Callithrix","jacchus","Common Marmoset",144,62,0.450102669,27.12,477,2.24
"119","Callithrix kuhlii",324.5,"Mammalia","Primates","Cebidae","Callithrix","kuhlii","Wied's Marmoset",144,62,0.450102669,27.12,477,2
"120","Callithrix leucippe",357.25,"Mammalia","Primates","Cebidae","Callithrix","leucippe","White Marmoset",144,120,0.592197125,35.45,502.76,1.87
"121","Callithrix marcai",357.25,"Mammalia","Primates","Cebidae","Callithrix","marcai","Marca's Marmoset",144,120,0.592197125,35.45,502.76,1.87
"122","Callithrix melanura",357.25,"Mammalia","Primates","Cebidae","Callithrix","melanura","Black-tailed Marmoset",144,120,0.592197125,35.45,502.76,1.87
"123","Callithrix penicillata",307,"Mammalia","Primates","Cebidae","Callithrix","penicillata","Black-tufted Marmoset",144,62,0.450102669,27.12,477,2
"124","Callithrix pygmaea",122.253879043333,"Mammalia","Primates","Cebidae","Callithrix","pygmaea","Pygmy Marmoset",133.72,91,0.483915127,16,684,1.98
"125","Callorhinus ursinus",83532.7177766667,"Mammalia","Carnivora","Otariidae","Callorhinus","ursinus","Northern Fur Seal",254.74932,107,0.999315537,5231.865,1461,1
"126","Calomys boliviae",48,"Mammalia","Rodentia","Cricetidae","Calomys","boliviae","Bolivian Laucha",22.00914,17.99144,0.057494867,2.37,47.76496,4.985
"127","Calomys callidus",48.6,"Mammalia","Rodentia","Cricetidae","Calomys","callidus","Reclusive Laucha",22.00914,17.99144,0.057494867,2.37,43.18,4.985
"128","Calomys callosus",48.3,"Mammalia","Rodentia","Cricetidae","Calomys","callosus","Big Laucha",22.00914,17.99144,0.057494867,2.37,47.76496,4.985
